TUNE_IDX,BATCH_SIZE,LEARNING_RATE,LAYERS,NEURONS,DROPOUT,ES_PATIENCE,EPOCHS,CLASS_WEIGHTS,OUTPUT_ACTIVATION
0001,32,0.001,1,"(128,)",0.0,20,100,True,softmax
0002,32,0.001,1,"(256,)",0.0,20,100,True,softmax
0003,32,0.001,1,"(512,)",0.0,20,100,True,softmax
0004,32,0.001,1,"(128,)",0.0,20,100,True,sigmoid
0005,32,0.001,1,"(256,)",0.0,20,100,True,sigmoid
0006,32,0.001,1,"(512,)",0.0,20,100,True,sigmoid
0007,32,0.001,1,"(128,)",0.2,20,100,True,softmax
0008,32,0.001,1,"(256,)",0.2,20,100,True,softmax
0009,32,0.001,1,"(512,)",0.2,20,100,True,softmax
0010,32,0.001,1,"(128,)",0.2,20,100,True,sigmoid
0011,32,0.001,1,"(256,)",0.2,20,100,True,sigmoid
0012,32,0.001,1,"(512,)",0.2,20,100,True,sigmoid
0013,32,0.001,2,"(128, 128)",0.0,20,100,True,softmax
0014,32,0.001,2,"(128, 256)",0.0,20,100,True,softmax
0015,32,0.001,2,"(128, 512)",0.0,20,100,True,softmax
0016,32,0.001,2,"(256, 128)",0.0,20,100,True,softmax
0017,32,0.001,2,"(256, 256)",0.0,20,100,True,softmax
0018,32,0.001,2,"(256, 512)",0.0,20,100,True,softmax
0019,32,0.001,2,"(512, 128)",0.0,20,100,True,softmax
0020,32,0.001,2,"(512, 256)",0.0,20,100,True,softmax
0021,32,0.001,2,"(512, 512)",0.0,20,100,True,softmax
0022,32,0.001,2,"(128, 128)",0.0,20,100,True,sigmoid
0023,32,0.001,2,"(128, 256)",0.0,20,100,True,sigmoid
0024,32,0.001,2,"(128, 512)",0.0,20,100,True,sigmoid
0025,32,0.001,2,"(256, 128)",0.0,20,100,True,sigmoid
0026,32,0.001,2,"(256, 256)",0.0,20,100,True,sigmoid
0027,32,0.001,2,"(256, 512)",0.0,20,100,True,sigmoid
0028,32,0.001,2,"(512, 128)",0.0,20,100,True,sigmoid
0029,32,0.001,2,"(512, 256)",0.0,20,100,True,sigmoid
0030,32,0.001,2,"(512, 512)",0.0,20,100,True,sigmoid
0031,32,0.001,2,"(128, 128)",0.2,20,100,True,softmax
0032,32,0.001,2,"(128, 256)",0.2,20,100,True,softmax
0033,32,0.001,2,"(128, 512)",0.2,20,100,True,softmax
0034,32,0.001,2,"(256, 128)",0.2,20,100,True,softmax
0035,32,0.001,2,"(256, 256)",0.2,20,100,True,softmax
0036,32,0.001,2,"(256, 512)",0.2,20,100,True,softmax
0037,32,0.001,2,"(512, 128)",0.2,20,100,True,softmax
